epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.31,1.03851,4.56865,1.17229,0.78139,0.34898,0.62725,0.47533,0.85401,2.92603,0.96125,0.00054889,0.00054889,0.00054889
2,62.9491,1.0704,3.12322,1.17977,0.67246,0.61514,0.66867,0.50982,0.97881,2.11486,1.08867,0.00106811,0.00106811,0.00106811
3,93.7505,1.05828,2.2296,1.15362,0.60733,0.60841,0.567,0.40028,1.04887,2.10399,1.12012,0.00155065,0.00155065,0.00155065
4,123.922,1.02491,1.73188,1.13602,0.5317,0.32877,0.33788,0.23869,1.16179,2.45963,1.23851,0.00150197,0.00150197,0.00150197
5,154.124,1.00026,1.42191,1.13574,0.86685,0.785,0.88771,0.68653,0.91582,1.89477,1.08342,0.00144696,0.00144696,0.00144696
6,184.525,0.95874,1.16714,1.11458,0.9218,0.73874,0.86374,0.67837,0.85958,1.0429,1.01313,0.00139195,0.00139195,0.00139195
7,214.15,0.93621,1.04361,1.10686,0.84465,0.79092,0.92335,0.7469,0.79172,1.07907,0.95985,0.00133693,0.00133693,0.00133693
8,244.004,0.9549,0.97687,1.10038,0.91716,0.85269,0.95792,0.76274,0.81699,0.69833,1.02129,0.00128192,0.00128192,0.00128192
9,274.057,0.90189,0.87196,1.08422,0.82143,0.78884,0.8745,0.67471,0.83854,1.07513,1.03721,0.00122691,0.00122691,0.00122691
10,303.912,0.85296,0.81481,1.06716,0.87232,0.85124,0.90796,0.74536,0.724,0.81309,1.00423,0.0011719,0.0011719,0.0011719
11,333.859,0.83815,0.74053,1.05215,0.89292,0.92045,0.95977,0.79048,0.72309,0.71163,0.96553,0.00111689,0.00111689,0.00111689
12,360.242,0.83131,0.76694,1.05009,0.94236,0.92614,0.96309,0.80065,0.70819,0.63219,0.95302,0.00106188,0.00106188,0.00106188
13,386.865,0.82238,0.70834,1.04388,0.90745,0.91287,0.93765,0.75977,0.73603,0.6712,0.99643,0.00100687,0.00100687,0.00100687
14,413.55,0.79555,0.68631,1.02234,0.95061,0.91331,0.97369,0.81635,0.70464,0.56868,0.95858,0.000951857,0.000951857,0.000951857
15,440.464,0.80103,0.66273,1.03214,0.9607,0.90247,0.96125,0.78982,0.71906,0.59821,0.99365,0.000896846,0.000896846,0.000896846
16,468.165,0.78742,0.66538,1.02294,0.95456,0.95572,0.98429,0.83069,0.68606,0.48336,0.93144,0.000841835,0.000841835,0.000841835
17,494.595,0.81503,0.69348,1.0503,0.953,0.93008,0.97223,0.81125,0.73862,0.54358,0.97776,0.000786824,0.000786824,0.000786824
18,521.464,0.75988,0.60094,1.00759,0.95896,0.91638,0.97619,0.83463,0.64434,0.50798,0.9453,0.000731813,0.000731813,0.000731813
19,548.641,0.78176,0.61084,1.03051,0.95698,0.94754,0.98094,0.81717,0.69555,0.50916,0.97177,0.000676802,0.000676802,0.000676802
20,575.164,0.74826,0.59755,1.00186,0.96387,0.95386,0.98212,0.85485,0.61043,0.464,0.89479,0.000621791,0.000621791,0.000621791
21,607.522,0.70897,0.56533,0.98519,0.92767,0.98295,0.9862,0.83367,0.66408,0.47552,0.91972,0.00056678,0.00056678,0.00056678
22,634.233,0.70215,0.54313,0.98031,0.95923,0.95455,0.98481,0.82855,0.676,0.48049,0.94173,0.000511769,0.000511769,0.000511769
23,661.185,0.6927,0.50536,0.97757,0.95343,0.96658,0.98414,0.83447,0.66145,0.48739,0.90374,0.000456758,0.000456758,0.000456758
24,687.758,0.68594,0.50287,0.97673,0.93928,0.97912,0.98757,0.84159,0.63551,0.43148,0.89843,0.000401747,0.000401747,0.000401747
25,714.857,0.66144,0.46513,0.96029,0.96516,0.93943,0.98423,0.83406,0.63317,0.43491,0.90563,0.000346736,0.000346736,0.000346736
26,741.631,0.64326,0.45767,0.95604,0.96052,0.96023,0.98836,0.83828,0.65057,0.43562,0.90854,0.000291725,0.000291725,0.000291725
27,768.442,0.63297,0.43494,0.95014,0.97707,0.95978,0.98982,0.86059,0.60738,0.41434,0.90224,0.000236714,0.000236714,0.000236714
28,795.352,0.62814,0.43401,0.95108,0.96854,0.95443,0.98901,0.84577,0.60941,0.41178,0.90822,0.000181703,0.000181703,0.000181703
29,822.118,0.60511,0.40958,0.93972,0.93316,0.98722,0.9897,0.85396,0.60728,0.39654,0.89366,0.000126692,0.000126692,0.000126692
30,849.121,0.5917,0.40514,0.93668,0.96218,0.94129,0.98993,0.8634,0.58175,0.3779,0.87944,7.1681e-05,7.1681e-05,7.1681e-05
