epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.404,0.93097,3.53627,1.05489,0.00277,0.88687,0.2102,0.16313,0.89731,3.27155,1.01993,0.000546249,0.000546249,0.000546249
2,56.584,0.97512,2.49617,1.07757,0.94604,0.65405,0.77258,0.61582,0.93606,1.64078,1.10679,0.000992826,0.000992826,0.000992826
3,66.7197,0.94326,1.95443,1.07471,0.89098,0.78788,0.86109,0.67818,0.83066,1.26216,1.04181,0.00132938,0.00132938,0.00132938
4,76.5499,0.91906,1.60216,1.05405,0.95832,0.81308,0.89474,0.71082,0.82848,1.05954,1.07081,0.0011719,0.0011719,0.0011719
5,86.3958,0.86487,1.29391,1.01093,0.88651,0.58773,0.6576,0.50226,0.95186,1.53172,1.10411,0.00100687,0.00100687,0.00100687
6,96.1366,0.81267,1.11815,0.98339,0.96669,0.88134,0.95312,0.76005,0.73736,0.738,1.00782,0.000841835,0.000841835,0.000841835
7,106.001,0.75592,0.93293,0.96362,0.9214,0.91753,0.96634,0.79957,0.72871,0.61348,1.01559,0.000676802,0.000676802,0.000676802
8,115.751,0.73101,0.85749,0.96736,0.96533,0.93973,0.97725,0.8123,0.67341,0.57566,0.96659,0.000511769,0.000511769,0.000511769
9,125.648,0.70027,0.7703,0.95157,0.92145,0.95753,0.97727,0.81643,0.65274,0.52221,0.97684,0.000346736,0.000346736,0.000346736
10,136.396,0.64988,0.71942,0.92029,0.96816,0.94154,0.98206,0.82101,0.61802,0.4708,0.94898,0.000181703,0.000181703,0.000181703
